Colonoscopy,Face mask (physical object),Intramuscular injection,Medication Reconciliation (procedure),Oxygen administration by mask (procedure),Placing subject in prone position (procedure),Plain chest X-ray (procedure),Suture open wound,Throat culture (procedure),Fitness,Controlled ventilation procedure and therapy  initiation and management (procedure),Hemodialysis (procedure),Pulmonary rehabilitation (regime/therapy),Spirometry (procedure)
0,0,0,1,0,0,0,0,1,0.5,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,1,0.5,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,1,0.5,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,1,0.5,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,1,0,0,0,0,0,0.6666666666666667,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999750006249843,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999750006249843,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999750006249843,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999750006249843,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999750006249843,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999750006249843,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999750006249843,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999750006249843,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999750006249843,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999750006249843,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999750006249843,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999750006249843,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999750006249843,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999750006249843,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0.9999750006249843,0.0,0.0,0.0,0.0
