Face mask (physical object),Medication Reconciliation (procedure),Fitness,Throat culture (procedure)
0,1.0,0.6666666666666667,0.0
0,1.0,0.6666666666666667,0.0
0,1.0,0.6666666666666667,0.0
0,1.0,0.6666666666666667,0.0
0,1.0,0.6666666666666667,0.0
0,1.0,0.6666666666666667,0.0
0,1.0,0.6666666666666667,0.0
0,1.0,0.6666666666666667,0.0
0,1.0,0.6666666666666667,0.0
0,1.0,0.6666666666666667,0.0
0,1.0,0.6666666666666667,0.0
0,1.0,0.6666666666666667,0.0
0,1.0,0.6666666666666667,0.0
0,1.0,0.6666666666666667,0.0
0,1.0,0.6666666666666667,0.0
0,1.0,0.6666666666666667,0.0
0,1.0,0.6666666666666667,0.0
0,1.0,0.6666666666666667,0.0
0,1.0,0.6666666666666667,0.0
0,0.0,1.0,0.0
0,0.0,1.0,0.0
0,0.0,1.0,0.0
0,0.0,1.0,0.0
0,0.0,1.0,0.0
0,0.0,1.0,0.0
0,0.0,1.0,0.0
0,0.0,1.0,0.0
0,0.0,1.0,0.0
0,0.0,0.9999666677777408,0.0
0,0.0,0.9999666677777408,0.0
0,0.0,0.9999666677777408,0.0
0,1.0,0.7999680012799488,0.0
0,1.0,0.7999680012799488,0.0
0,1.0,0.7999680012799488,0.0
0,0.0,0.9999666677777408,0.0
0,0.0,0.9999666677777408,0.0
0,0.0,0.9999666677777408,0.0
0,0.0,0.9999571440815976,0.0
0,0.0,0.9999571440815976,0.0
0,0.0,0.9999666677777408,0.0
0,0.0,0.9999666677777408,0.0
0,0.0,0.9999571440815976,0.0
0,0.0,0.9999571440815976,0.0
0,0.0,0.9999666677777408,0.0
0,0.0,0.9999666677777408,0.0
0,0.0,1.0,0.0
0,0.0,1.0,0.0
0,0.0,1.0,0.0
0,0.0,1.0,0.0
0,0.0,1.0,0.0
0,0.0,1.0,0.0
0,0.0,1.0,0.0
0,0.0,1.0,0.0
